Month Name,Meter Name,Amount,Monetary Cost,Environmental Cost
4/1/2018,NG10,271.28,234.19,
5/1/2018,NG10,130.13,120.35,
6/1/2018,NG10,49.18,53.29,
7/1/2018,NG10,52.12,56.29,
8/1/2018,NG10,129.25,119.53,
9/1/2018,NG10,207.19,186.17,
10/1/2018,NG10,261.6,234.88,
11/1/2018,NG10,298.98,284.26,
12/1/2018,NG10,200.06,221.56,
1/1/2019,NG10,155.62,162.91,
2/1/2019,NG10,327.01,312.66,
3/1/2019,NG10,226.28,214.97,
4/1/2019,NG10,265.23,230.27,
5/1/2019,NG10,170.01,150.87,
6/1/2019,NG10,34.5,43,
7/1/2019,NG10,17.74,28.96,
8/1/2019,NG10,136.68,117.68,
9/1/2019,NG10,133.68,117.69,
10/1/2019,NG10,220.37,202.4,
11/1/2019,NG10,267.1,247.92,
12/1/2019,NG10,165.33,155.89,
1/1/2020,NG10,125,115.74,
2/1/2020,NG10,309.59,263.6,
3/1/2020,NG10,141.68,125.27,
4/1/2020,NG10,75.63,69.86,
5/1/2020,NG10,62.85,61.44,
6/1/2020,NG10,47.13,49.56,
7/1/2020,NG10,20.91,116.72,
1/1/2021,NG10,116.26,119.28,
12/1/2016,NG11,4980.9,4173.23,
1/1/2017,NG11,1905.79,1963.74,
2/1/2017,NG11,3757.95,3323.36,
3/1/2017,NG11,2788.96,2373.07,
4/1/2017,NG11,3612.52,2440.73,
5/1/2017,NG11,1844.28,1280.94,
6/1/2017,NG11,1111.29,831.8,
7/1/2017,NG11,1187.47,862.08,
8/1/2017,NG11,1606.26,1111.27,
9/1/2017,NG11,3446.47,2256.9,
10/1/2017,NG11,3211.43,2102.8,
11/1/2017,NG11,2935.61,2531.28,
12/1/2017,NG11,2085.57,1970.09,
1/1/2018,NG11,1828.84,1767.2,
2/1/2018,NG11,3394.14,3054.45,
3/1/2018,NG11,2420.25,2066.23,
4/1/2018,NG11,3101.41,1959.88,
5/1/2018,NG11,1369.52,945.3,
6/1/2018,NG11,726.21,556.51,
7/1/2018,NG11,1061.12,774.98,
8/1/2018,NG11,1693.84,1142.33,
9/1/2018,NG11,3243.87,2115.5,
10/1/2018,NG11,3079.58,2049.9,
11/1/2018,NG11,3255.36,2756.94,
12/1/2018,NG11,2004.76,2149.57,
1/1/2019,NG11,1842.17,1870.8,
2/1/2019,NG11,2835.81,2403.37,
3/1/2019,NG11,2498.59,2141.4,
4/1/2019,NG11,3432.14,2149.68,
5/1/2019,NG11,2168.15,1377.46,
6/1/2019,NG11,1577.5,1042.36,
7/1/2019,NG11,1564.02,976.44,
8/1/2019,NG11,1061.64,1345,
12/1/2019,NG11,1349.34,1084.94,
12/1/2019,NG11,2019.57,1749.94,
1/1/2020,NG11,1935.99,1630.71,
2/1/2020,NG11,2480.89,1891.79,
